"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000104760.17",3.73962092413329,8.27715092315202,10.8137466083811,7.41355841821876e-21,2.34868944247588e-16,36.6524320373379
"ENSG00000168078.10",1.70728282041432,8.09199190581239,10.0440665959014,9.40126555443608e-19,1.48920747015045e-14,31.9585648618767
"ENSG00000143228.13",1.50992607551101,8.38759773916907,9.86848721651656,2.80953597552909e-18,2.51311825953147e-14,30.8972690102445
"ENSG00000174514.13",-2.26608791198457,10.349654637326,-9.84893084532605,3.17302895682772e-18,2.51311825953147e-14,30.7793192983539
"ENSG00000215784.6",0.882857818471331,5.34231268580094,9.80475897448875,4.17573188187742e-18,2.64582723499517e-14,30.5131063147118
"ENSG00000127249.15",-2.34772414629401,10.8337032052657,-9.77473336629717,5.03183130999575e-18,2.65689079553292e-14,30.3323096869295
"ENSG00000184384.14",-1.18002737268183,10.0037507076737,-9.56059924318429,1.89488675611799e-17,8.57598676008199e-14,29.0468652946831
"ENSG00000134057.15",1.39443925156044,10.1279024016645,9.48209939415014,3.07520403179198e-17,1.21781923664002e-13,28.577457138653
"ENSG00000111665.12",1.39881044641468,8.21849169958142,9.3955859753664,5.23718108886037e-17,1.73374015825122e-13,28.0613325541888
"ENSG00000196550.10",0.880128024633872,5.723445363795,9.3884346731577,5.47249189814471e-17,1.73374015825122e-13,28.0187269828316
"ENSG00000102383.14",-1.2878054113224,7.07158361036194,-9.36125039485589,6.46705070489863e-17,1.86256939438085e-13,27.8568523669359
"ENSG00000076382.17",1.31660882466818,9.56447197008963,9.32365444505145,8.14530434947362e-17,2.15042822579728e-13,27.6331958237024
"ENSG00000135185.12",-0.998253946611459,10.2514917517282,-9.29203871261551,9.88740898954313e-17,2.25227987503252e-13,27.4453126757324
"ENSG00000138018.18",0.896532087711389,11.0990521892353,9.29096059427862,9.95294285232639e-17,2.25227987503252e-13,27.4389089421078
"ENSG00000058335.16",-2.01017058893878,8.51632331230777,-9.27126727941565,1.12290069382822e-16,2.37164112541146e-13,27.3219734896773
"ENSG00000166598.15",0.758397602406607,15.1978242340531,9.20712257940082,1.66250813906838e-16,3.19179616623531e-13,26.9415932396272
"ENSG00000215262.8",1.71295344633099,4.87535234363193,9.2022538815894,1.71271534440202e-16,3.19179616623531e-13,26.912753315313
"ENSG00000196510.12",0.574368675474677,10.8057561205444,9.18142950205044,1.94504700822671e-16,3.42339079264613e-13,26.7894502676666
"ENSG00000163106.11",-1.43175063284847,6.86960195634299,-9.14211523966307,2.47244411923132e-16,4.12260537586145e-13,26.5568943152316
"ENSG00000198826.11",1.12119413828214,8.64595574140024,9.09526653801647,3.28941088403899e-16,4.9442011442012e-13,26.2801638481331
"ENSG00000070087.14",1.73284474937057,11.1279266632798,9.09392402090991,3.31641193869644e-16,4.9442011442012e-13,26.272240129059
"ENSG00000196616.14",-2.21761802582709,10.0901089241423,-9.08823184199939,3.43336464039729e-16,4.9442011442012e-13,26.2386480978688
"ENSG00000171560.16",4.26228207103723,9.60993030018494,9.06273414586414,4.0096535791465e-16,5.52303630612784e-13,26.0882545670215
"ENSG00000139372.15",0.763265511580135,9.96773447701237,9.04825442189224,4.37874008640198e-16,5.65037128766462e-13,26.0029067700085
"ENSG00000001461.17",-0.834404052538771,11.1534879512911,-9.04527411851295,4.45880124338296e-16,5.65037128766462e-13,25.9853452406823
"ENSG00000117650.13",1.51846170994692,8.6423663857004,9.03137790912747,4.85174579669189e-16,5.73524802722926e-13,25.9034852271219
"ENSG00000109674.4",1.56434386232618,6.97275600381961,9.02655534965217,4.99601168427053e-16,5.73524802722926e-13,25.8750856149564
"ENSG00000008441.18",-1.26971391460403,11.5951234117688,-9.02417212267604,5.06887234501497e-16,5.73524802722926e-13,25.8610527639126
"ENSG00000049246.14",-1.34737590904272,9.68950696614831,-8.98227554836275,6.53683416097714e-16,7.14115320875575e-13,25.6145493460876
"ENSG00000115163.15",1.38157569244036,7.40337109972786,8.96682494857078,7.1789523203005e-16,7.58121294864801e-13,25.5237357986177
"ENSG00000144381.18",0.780537114037998,13.7915444342889,8.9460531040033,8.14207492519731e-16,8.32093792597342e-13,25.4017245509926
"ENSG00000132274.16",-0.991967177943083,11.6729464446482,-8.93963128534866,8.46505976279513e-16,8.38067369828477e-13,25.3640219810745
"ENSG00000137462.9",-1.42973268149689,10.7357530293484,-8.9251668174465,9.2399589011673e-16,8.87064054387519e-13,25.2791329313893
"ENSG00000232629.9",-2.29270506803392,10.7998438213322,-8.89566203123681,1.10459686415552e-15,1.0292568603915e-12,25.1061136273411
"ENSG00000134917.10",-1.57558370432154,7.43191670792166,-8.88522695593961,1.17653772077417e-15,1.06496832948132e-12,25.0449659628117
"ENSG00000158488.16",-1.7048493252691,7.1888367868346,-8.87190052550076,1.27522103135006e-15,1.12222993039448e-12,24.9669097226572
"ENSG00000111206.13",1.46182318595324,9.46695896359157,8.8624241746612,1.35035820984085e-15,1.15623509313427e-12,24.911427832934
"ENSG00000047936.11",-2.08295956276609,11.1045591565524,-8.82537529027702,1.68878026174388e-15,1.4079538808502e-12,24.6947036706745
"ENSG00000135451.13",1.47372231612886,8.28315523445634,8.79195484446168,2.0657191100941e-15,1.6780524904331e-12,24.4994651619971
"ENSG00000154040.21",2.25616222063208,7.82898108348274,8.78306739485106,2.17932063644853e-15,1.72607642708315e-12,24.4475876795777
"ENSG00000168329.14",-1.50052654147547,7.43418736670858,-8.77304571204453,2.31488203352075e-15,1.76363230472374e-12,24.389110805002
"ENSG00000161800.13",1.05412225891959,10.1098279549087,8.7704659948906,2.35111291381778e-15,1.76363230472374e-12,24.3740617296256
"ENSG00000099994.11",-2.4942337435733,11.9951644008245,-8.76748071710685,2.3937435403908e-15,1.76363230472374e-12,24.3566486469126
"ENSG00000123485.12",1.42909483440934,8.57865813993833,8.72925839764771,3.01245388899265e-15,2.13641725556233e-12,24.1338773465673
"ENSG00000138092.11",0.759949805305659,8.44333868860831,8.72804036320947,3.03458781289432e-15,2.13641725556233e-12,24.1267837585343
"ENSG00000065328.17",1.34424499819581,7.91822824381384,8.69699841187962,3.65657661821086e-15,2.50388853484687e-12,23.9461170601345
"ENSG00000153292.16",-2.96409522159179,10.1388868598923,-8.69437484137967,3.71461636746956e-15,2.50388853484687e-12,23.9308578870534
"ENSG00000077152.11",1.26433217061165,9.26430494723661,8.68973878674186,3.81942353735036e-15,2.52089910597493e-12,23.903897646342
"ENSG00000137727.12",-1.44487402634119,8.02974433803546,-8.68004172596592,4.04823844187859e-15,2.5928974873365e-12,23.8475221233784
"ENSG00000166448.15",-1.90942666542887,8.93500571416903,-8.67824131799256,4.09219640689452e-15,2.5928974873365e-12,23.8370575604294
"ENSG00000174371.17",1.34986772455044,8.01245240305401,8.66608091954245,4.40177464056629e-15,2.73436514485844e-12,23.7663972084877
"ENSG00000135476.12",1.40186118256226,8.57901456210741,8.64390310807396,5.02747634171962e-15,3.06298996119268e-12,23.6376183178415
"ENSG00000107937.19",0.673380864983216,11.3487729910507,8.63091058664087,5.43428110480402e-15,3.24836716379804e-12,23.5622292991877
"ENSG00000087586.18",1.30131713409829,9.42317835695104,8.61367092953573,6.0249493555897e-15,3.53122105866719e-12,23.4622583682164
"ENSG00000118193.12",1.33692298694614,8.0830911591607,8.61077079655904,6.13039860568465e-15,3.53122105866719e-12,23.4454477902206
"ENSG00000185480.12",1.09681875943157,7.31578187085122,8.58074964338818,7.33566968034202e-15,4.15002412755206e-12,23.2715495130607
"ENSG00000102385.12",1.17107132263456,5.6321064409806,8.5668912682649,7.9687735345885e-15,4.30667497467897e-12,23.1913480996908
"ENSG00000182795.13",-1.87715707770523,13.039463694222,-8.56634754798798,7.99468950278091e-15,4.30667497467897e-12,23.1882024253702
"ENSG00000138346.15",1.04915553577043,8.43107363040853,8.56171463740371,8.21893590106298e-15,4.30667497467897e-12,23.1614018098568
"ENSG00000138180.16",1.29639770403843,9.25537351188301,8.56135971228122,8.23637071269923e-15,4.30667497467897e-12,23.1593488431532
"ENSG00000260573.4",1.56254950965338,4.74841656787444,8.56022691411953,8.29226266391267e-15,4.30667497467897e-12,23.1527966896586
"ENSG00000138160.7",1.13691914766254,9.62257851973715,8.52536852379361,1.02091187636749e-14,5.21669502503202e-12,22.9513280954166
